연,월,날짜 ,PIR
2014,09,201409,8.831114407
2014,10,201410,9.187807206
2014,11,201411,9.225653743
2014,12,201412,9.242409683
2015,01,201501,8.874883715
2015,02,201502,8.880751792
2015,03,201503,8.930436326
2015,04,201504,9.257619979
2015,05,201505,9.308096199
2015,06,201506,9.379896302
2015,07,201507,9.166957013
2015,08,201508,9.209887583
2015,09,201509,9.283414877
2015,10,201510,9.514454384
2015,11,201511,9.538153271
2015,12,201512,9.590362358
2016,01,201601,9.695225167
2016,02,201602,9.702188974
2016,03,201603,9.711720691
2016,04,201604,9.97271341
2016,05,201605,10.00736788
2016,06,201606,10.08321834
2016,07,201607,9.990724899
2016,08,201608,10.14920005
2016,09,201609,10.25417298
2016,10,201610,10.63268131
2016,11,201611,10.73718215
2016,12,201612,10.75746434
2017,01,201701,10.50797468
2017,02,201702,10.52879682
2017,03,201703,10.54629336
2017,04,201704,10.85524839
2017,05,201705,10.92580884
2017,06,201706,11.04451408
2017,07,201707,10.8293774
2017,08,201708,10.97591226
2017,09,201709,11.1558885
2017,10,201710,11.3612104
2017,11,201711,11.42584662
2017,12,201712,11.5279595
2018,01,201801,11.43896395
2018,02,201802,11.7338364
2018,03,201803,12.060701
2018,04,201804,12.62501348
2018,05,201805,12.78037604
2018,06,201806,12.83198026
2018,07,201807,12.40870165
2018,08,201808,12.75402525
2018,09,201809,13.3677414
2018,10,201810,14.01935394
2018,11,201811,14.25949952
2018,12,201812,14.34547405
2019,01,201901,13.7963384
2019,02,201902,13.8052145
2019,03,201903,13.73233982
2019,04,201904,13.82973202
2019,05,201905,13.89347653
2019,06,201906,13.84898001
2019,07,201907,13.85739618
2019,08,201908,13.86661757
2019,09,201909,13.85766459