연도,구,입주량,수요량
2013,용산구,669,1332
2014,용산구,642,1301
2015,용산구,875,1264
2016,용산구,68,1232
2017,용산구,2116,1198
2018,용산구,356,1177
2019,용산구,478,1158
2020,용산구,1140,1153
2021,용산구,55,1151
2022,용산구,0,1149
2013,종로구,843,889
2014,종로구,433,865
2015,종로구,194,840
2016,종로구,86,817
2017,종로구,2779,809
2018,종로구,0,787
2019,종로구,311,768
2020,종로구,0,765
2021,종로구,0,763
2022,종로구,159,762
2013,중구,362,725
2014,중구,1539,706
2015,중구,110,681
2016,중구,2039,670
2017,중구,1446,657
2018,중구,689,646
2019,중구,1112,640
2020,중구,157,637
2021,중구,0,636
2022,중구,0,634
2013,성동구,471,1663
2014,성동구,1915,1632
2015,성동구,1825,1609
2016,성동구,6077,1602
2017,성동구,1608,1594
2018,성동구,2044,1584
2019,성동구,1420,1534
2020,성동구,0,1528
2021,성동구,280,1525
2022,성동구,0,1522
2013,광진구,73,2049
2014,광진구,524,2003
2015,광진구,315,1953
2016,광진구,203,1912
2017,광진구,975,1871
2018,광진구,1343,1828
2019,광진구,438,1785
2020,광진구,0,1777
2021,광진구,390,1774
2022,광진구,730,1770
2013,동대문구,1835,2023
2014,동대문구,5857,2005
2015,동대문구,2036,1952
2016,동대문구,1986,1990
2017,동대문구,875,1834
2018,동대문구,2424,1789
2019,동대문구,4246,1754
2020,동대문구,429,1746
2021,동대문구,1048,1743
2022,동대문구,0,1739
2013,중랑구,3250,2315
2014,중랑구,1644,2309
2015,중랑구,814,2243
2016,중랑구,364,2200
2017,중랑구,822,2135
2018,중랑구,829,2072
2019,중랑구,877,2018
2020,중랑구,2203,2010
2021,중랑구,708,2006
2022,중랑구,403,2002
2013,성북구,1011,2647
2014,성북구,568,2572
2015,성북구,636,2489
2016,성북구,677,2410
2017,성북구,1826,2322
2018,성북구,165,2240
2019,성북구,6685,2235
2020,성북구,1416,2225
2021,성북구,0,2221
2022,성북구,2143,2216
2013,강북구,231,1881
2014,강북구,703,1847
2015,강북구,118,1793
2016,강북구,202,1751
2017,강북구,698,1697
2018,강북구,119,1640
2019,강북구,1028,1589
2020,강북구,0,1583
2021,강북구,0,1579
2022,강북구,0,1576
2013,도봉구,401,1992
2014,도봉구,350,1950
2015,도봉구,58,1903
2016,도봉구,416,1864
2017,도봉구,66,1800
2018,도봉구,370,1745
2019,도봉구,199,1697
2020,도봉구,0,1690
2021,도봉구,0,1686
2022,도봉구,0,1683
2013,노원구,279,3280
2014,노원구,638,3211
2015,노원구,74,3114
2016,노원구,1339,3038
2017,노원구,464,2899
2018,노원구,573,2795
2019,노원구,1024,2709
2020,노원구,1508,2697
2021,노원구,1370,2692
2022,노원구,0,2687
2013,은평구,950,2798
2014,은평구,835,2748
2015,은평구,1974,2698
2016,은평구,309,2630
2017,은평구,1657,2546
2018,은평구,2477,2484
2019,은평구,5711,2438
2020,은평구,4487,2427
2021,은평구,1871,2422
2022,은평구,0,2418
2013,서대문구,248,1745
2014,서대문구,628,1711
2015,서대문구,5359,1691
2016,서대문구,361,1681
2017,서대문구,885,1636
2018,서대문구,4840,1595
2019,서대문구,1624,1569
2020,서대문구,2285,1563
2021,서대문구,1116,1559
2022,서대문구,320,1556
2013,마포구,347,2121
2014,마포구,5633,2125
2015,마포구,2431,2101
2016,마포구,2501,2033
2017,마포구,592,1961
2018,마포구,1764,1928
2019,마포구,1557,1891
2020,마포구,1720,1883
2021,마포구,1431,1879
2022,마포구,0,1875
2013,양천구,260,2736
2014,양천구,1227,2680
2015,양천구,380,2626
2016,양천구,1939,2557
2017,양천구,244,2464
2018,양천구,595,2386
2019,양천구,1319,2327
2020,양천구,3072,2317
2021,양천구,1497,2312
2022,양천구,0,2308
2013,강서구,2132,3161
2014,강서구,7439,3225
2015,강서구,3214,3192
2016,강서구,2457,3187
2017,강서구,2436,3147
2018,강서구,1486,3068
2019,강서구,1474,3005
2020,강서구,298,2992
2021,강서구,143,2986
2022,강서구,217,2980
2013,구로구,1392,2360
2014,구로구,3373,2347
2015,구로구,1093,2287
2016,구로구,733,2235
2017,구로구,773,2148
2018,구로구,1635,2079
2019,구로구,4131,2058
2020,구로구,780,2050
2021,구로구,0,2045
2022,구로구,0,2042
2013,금천구,454,1339
2014,금천구,2142,1314
2015,금천구,77,1280
2016,금천구,1893,1260
2017,금천구,1068,1230
2018,금천구,1866,1202
2019,금천구,568,1181
2020,금천구,68,1176
2021,금천구,0,1174
2022,금천구,0,1171
2013,영등포구,1833,2147
2014,영등포구,1965,2107
2015,영등포구,1590,2051
2016,영등포구,624,1983
2017,영등포구,4542,1927
2018,영등포구,1125,1890
2019,영등포구,1056,1864
2020,영등포구,6670,1857
2021,영등포구,308,1853
2022,영등포구,0,1849
2013,동작구,2043,2282
2014,동작구,352,2246
2015,동작구,680,2171
2016,동작구,1705,2146
2017,동작구,298,2072
2018,동작구,3455,2036
2019,동작구,22,2012
2020,동작구,977,2004
2021,동작구,1473,2000
2022,동작구,640,1996
2013,관악구,999,2877
2014,관악구,798,2829
2015,관악구,429,2762
2016,관악구,707,2712
2017,관악구,554,2632
2018,관악구,437,2580
2019,관악구,1694,2541
2020,관악구,430,2530
2021,관악구,0,2525
2022,관악구,0,2520
2013,서초구,5219,2454
2014,서초구,3274,2479
2015,서초구,2336,2421
2016,서초구,2987,2393
2017,서초구,1328,2307
2018,서초구,3973,2230
2019,서초구,1091,2181
2020,서초구,2448,2172
2021,서초구,2719,2168
2022,서초구,0,2163
2013,강남구,2573,3130
2014,강남구,6454,3187
2015,강남구,3855,3124
2016,강남구,1799,3035
2017,강남구,513,2909
2018,강남구,1523,2788
2019,강남구,3526,2753
2020,강남구,2395,2742
2021,강남구,2659,2736
2022,강남구,499,2731
2013,송파구,3478,3713
2014,송파구,92,3664
2015,송파구,1319,3578
2016,송파구,6844,3520
2017,송파구,3164,3475
2018,송파구,11034,3426
2019,송파구,1115,3429
2020,송파구,1199,3414
2021,송파구,542,3407
2022,송파구,1945,3400
2013,강동구,818,2685
2014,,1060,2627
2015,,746,2485
2016,,4842,2377
2017,,1615,2281
2018,,1443,2198
2019,,11745,2157
2020,,6411,2148
2021,,1824,2143
2022,,0,20139