연도,구,입주량,수요량,누적,차이 
2013,용산구,669,1332,-663,-663
2014,용산구,642,1301,-1322,-659
2015,용산구,875,1264,-1711,-389
2016,용산구,68,1232,-2875,-1164
2017,용산구,2116,1198,-1957,918
2018,용산구,356,1177,-2778,-821
2019,용산구,478,1158,-3458,-680
2020,용산구,1140,1153,-3471,-13
2021,용산구,55,1151,-4567,-1096
2022,용산구,0,1149,-5716,-1149
2013,종로구,843,889,-46,-46
2014,종로구,433,865,-478,-432
2015,종로구,194,840,-1124,-646
2016,종로구,86,817,-1855,-731
2017,종로구,2779,809,115,1970
2018,종로구,0,787,-672,-787
2019,종로구,311,768,-1129,-457
2020,종로구,0,765,-1894,-765
2021,종로구,0,763,-2657,-763
2022,종로구,159,762,-3260,-603
2013,중구,362,725,-363,-363
2014,중구,1539,706,470,833
2015,중구,110,681,-101,-571
2016,중구,2039,670,1268,1369
2017,중구,1446,657,2057,789
2018,중구,689,646,2100,43
2019,중구,1112,640,2572,472
2020,중구,157,637,2092,-480
2021,중구,0,636,1456,-636
2022,중구,0,634,822,-634
2013,성동구,471,1663,-1192,-1192
2014,성동구,1915,1632,-909,283
2015,성동구,1825,1609,-693,216
2016,성동구,6077,1602,3782,4475
2017,성동구,1608,1594,3796,14
2018,성동구,2044,1584,4256,460
2019,성동구,1420,1534,4142,-114
2020,성동구,0,1528,2614,-1528
2021,성동구,280,1525,1369,-1245
2022,성동구,0,1522,-153,-1522
2013,광진구,73,2049,-1976,-1976
2014,광진구,524,2003,-3455,-1479
2015,광진구,315,1953,-5093,-1638
2016,광진구,203,1912,-6802,-1709
2017,광진구,975,1871,-7698,-896
2018,광진구,1343,1828,-8183,-485
2019,광진구,438,1785,-9530,-1347
2020,광진구,0,1777,-11307,-1777
2021,광진구,390,1774,-12691,-1384
2022,광진구,730,1770,-13731,-1040
2013,동대문구,1835,2023,-188,-188
2014,동대문구,5857,2005,3664,3852
2015,동대문구,2036,1952,3748,84
2016,동대문구,1986,1990,3744,-4
2017,동대문구,875,1834,2785,-959
2018,동대문구,2424,1789,3420,635
2019,동대문구,4246,1754,5912,2492
2020,동대문구,429,1746,4595,-1317
2021,동대문구,1048,1743,3900,-695
2022,동대문구,0,1739,2161,-1739
2013,중랑구,3250,2315,935,935
2014,중랑구,1644,2309,270,-665
2015,중랑구,814,2243,-1159,-1429
2016,중랑구,364,2200,-2995,-1836
2017,중랑구,822,2135,-4308,-1313
2018,중랑구,829,2072,-5551,-1243
2019,중랑구,877,2018,-6692,-1141
2020,중랑구,2203,2010,-6499,193
2021,중랑구,708,2006,-7797,-1298
2022,중랑구,403,2002,-9396,-1599
2013,성북구,1011,2647,-1636,-1636
2014,성북구,568,2572,-3640,-2004
2015,성북구,636,2489,-5493,-1853
2016,성북구,677,2410,-7226,-1733
2017,성북구,1826,2322,-7722,-496
2018,성북구,165,2240,-9797,-2075
2019,성북구,6685,2235,-5347,4450
2020,성북구,1416,2225,-6156,-809
2021,성북구,0,2221,-8377,-2221
2022,성북구,2143,2216,-8450,-73
2013,강북구,231,1881,-1650,-1650
2014,강북구,703,1847,-2794,-1144
2015,강북구,118,1793,-4469,-1675
2016,강북구,202,1751,-6018,-1549
2017,강북구,698,1697,-7017,-999
2018,강북구,119,1640,-8538,-1521
2019,강북구,1028,1589,-9099,-561
2020,강북구,0,1583,-10682,-1583
2021,강북구,0,1579,-12261,-1579
2022,강북구,0,1576,-13837,-1576
2013,도봉구,401,1992,-1591,-1591
2014,도봉구,350,1950,-3191,-1600
2015,도봉구,58,1903,-5036,-1845
2016,도봉구,416,1864,-6484,-1448
2017,도봉구,66,1800,-8218,-1734
2018,도봉구,370,1745,-9593,-1375
2019,도봉구,199,1697,-11091,-1498
2020,도봉구,0,1690,-12781,-1690
2021,도봉구,0,1686,-14467,-1686
2022,도봉구,0,1683,-16150,-1683
2013,노원구,279,3280,-3001,-3001
2014,노원구,638,3211,-5574,-2573
2015,노원구,74,3114,-8614,-3040
2016,노원구,1339,3038,-10313,-1699
2017,노원구,464,2899,-12748,-2435
2018,노원구,573,2795,-14970,-2222
2019,노원구,1024,2709,-16655,-1685
2020,노원구,1508,2697,-17844,-1189
2021,노원구,1370,2692,-19166,-1322
2022,노원구,0,2687,-21853,-2687
2013,은평구,950,2798,-1848,-1848
2014,은평구,835,2748,-3761,-1913
2015,은평구,1974,2698,-4485,-724
2016,은평구,309,2630,-6806,-2321
2017,은평구,1657,2546,-7695,-889
2018,은평구,2477,2484,-7702,-7
2019,은평구,5711,2438,-4429,3273
2020,은평구,4487,2427,-2369,2060
2021,은평구,1871,2422,-2920,-551
2022,은평구,0,2418,-5338,-2418
2013,서대문구,248,1745,-1497,-1497
2014,서대문구,628,1711,-2580,-1083
2015,서대문구,5359,1691,1088,3668
2016,서대문구,361,1681,-232,-1320
2017,서대문구,885,1636,-983,-751
2018,서대문구,4840,1595,2262,3245
2019,서대문구,1624,1569,2317,55
2020,서대문구,2285,1563,3039,722
2021,서대문구,1116,1559,2596,-443
2022,서대문구,320,1556,1360,-1236
2013,마포구,347,2121,-1774,-1774
2014,마포구,5633,2125,1734,3508
2015,마포구,2431,2101,2064,330
2016,마포구,2501,2033,2532,468
2017,마포구,592,1961,1163,-1369
2018,마포구,1764,1928,999,-164
2019,마포구,1557,1891,665,-334
2020,마포구,1720,1883,502,-163
2021,마포구,1431,1879,54,-448
2022,마포구,0,1875,-1821,-1875
2013,양천구,260,2736,-2476,-2476
2014,양천구,1227,2680,-3929,-1453
2015,양천구,380,2626,-6175,-2246
2016,양천구,1939,2557,-6793,-618
2017,양천구,244,2464,-9013,-2220
2018,양천구,595,2386,-10804,-1791
2019,양천구,1319,2327,-11812,-1008
2020,양천구,3072,2317,-11057,755
2021,양천구,1497,2312,-11872,-815
2022,양천구,0,2308,-14180,-2308
2013,강서구,2132,3161,-1029,-1029
2014,강서구,7439,3225,3185,4214
2015,강서구,3214,3192,3207,22
2016,강서구,2457,3187,2477,-730
2017,강서구,2436,3147,1766,-711
2018,강서구,1486,3068,184,-1582
2019,강서구,1474,3005,-1347,-1531
2020,강서구,298,2992,-4041,-2694
2021,강서구,143,2986,-6884,-2843
2022,강서구,217,2980,-9647,-2763
2013,구로구,1392,2360,-968,-968
2014,구로구,3373,2347,58,1026
2015,구로구,1093,2287,-1136,-1194
2016,구로구,733,2235,-2638,-1502
2017,구로구,773,2148,-4013,-1375
2018,구로구,1635,2079,-4457,-444
2019,구로구,4131,2058,-2384,2073
2020,구로구,780,2050,-3654,-1270
2021,구로구,0,2045,-5699,-2045
2022,구로구,0,2042,-7741,-2042
2013,금천구,454,1339,-885,-885
2014,금천구,2142,1314,-57,828
2015,금천구,77,1280,-1260,-1203
2016,금천구,1893,1260,-627,633
2017,금천구,1068,1230,-789,-162
2018,금천구,1866,1202,-125,664
2019,금천구,568,1181,-738,-613
2020,금천구,68,1176,-1846,-1108
2021,금천구,0,1174,-3020,-1174
2022,금천구,0,1171,-4191,-1171
2013,영등포구,1833,2147,-314,-314
2014,영등포구,1965,2107,-456,-142
2015,영등포구,1590,2051,-917,-461
2016,영등포구,624,1983,-2276,-1359
2017,영등포구,4542,1927,339,2615
2018,영등포구,1125,1890,-426,-765
2019,영등포구,1056,1864,-1234,-808
2020,영등포구,6670,1857,3579,4813
2021,영등포구,308,1853,2034,-1545
2022,영등포구,0,1849,185,-1849
2013,동작구,2043,2282,-239,-239
2014,동작구,352,2246,-2133,-1894
2015,동작구,680,2171,-3624,-1491
2016,동작구,1705,2146,-4065,-441
2017,동작구,298,2072,-5839,-1774
2018,동작구,3455,2036,-4420,1419
2019,동작구,22,2012,-6410,-1990
2020,동작구,977,2004,-7437,-1027
2021,동작구,1473,2000,-7964,-527
2022,동작구,640,1996,-9320,-1356
2013,관악구,999,2877,-1878,-1878
2014,관악구,798,2829,-3909,-2031
2015,관악구,429,2762,-6242,-2333
2016,관악구,707,2712,-8247,-2005
2017,관악구,554,2632,-10325,-2078
2018,관악구,437,2580,-12468,-2143
2019,관악구,1694,2541,-13315,-847
2020,관악구,430,2530,-15415,-2100
2021,관악구,0,2525,-17940,-2525
2022,관악구,0,2520,-20460,-2520
2013,서초구,5219,2454,2765,2765
2014,서초구,3274,2479,3560,795
2015,서초구,2336,2421,3475,-85
2016,서초구,2987,2393,4069,594
2017,서초구,1328,2307,3090,-979
2018,서초구,3973,2230,4833,1743
2019,서초구,1091,2181,3743,-1090
2020,서초구,2448,2172,4019,276
2021,서초구,2719,2168,4570,551
2022,서초구,0,2163,2407,-2163
2013,강남구,2573,3130,-557,-557
2014,강남구,6454,3187,2710,3267
2015,강남구,3855,3124,3441,731
2016,강남구,1799,3035,2205,-1236
2017,강남구,513,2909,-191,-2396
2018,강남구,1523,2788,-1456,-1265
2019,강남구,3526,2753,-683,773
2020,강남구,2395,2742,-1030,-347
2021,강남구,2659,2736,-1107,-77
2022,강남구,499,2731,-3339,-2232
2013,송파구,3478,3713,-235,-235
2014,송파구,92,3664,-3807,-3572
2015,송파구,1319,3578,-6066,-2259
2016,송파구,6844,3520,-2742,3324
2017,송파구,3164,3475,-3053,-311
2018,송파구,11034,3426,4555,7608
2019,송파구,1115,3429,2241,-2314
2020,송파구,1199,3414,26,-2215
2021,송파구,542,3407,-2839,-2865
2022,송파구,1945,3400,-4294,-1455
2013,강동구,818,2685,-1867,-1867
2014,,1060,2627,-3434,-1567
2015,,746,2485,-5173,-1739
2016,,4842,2377,-2708,2465
2017,,1615,2281,-3374,-666
2018,,1443,2198,-4129,-755
2019,,11745,2157,5459,9588
2020,,6411,2148,9722,4263
2021,,1824,2143,9403,-319
2022,,0,2039,7364,-2039